target,x,y,d1,d2
receive,The IAA receives no Government funding,The IAA received no Government funding,The IAA will receive no Government funding,The IAA would receive no Government funding
become,The beggar man becomes Ravana,The beggar man became Ravana,The beggar man will become Ravana,The beggar man would become Ravana
send,The server sends responses to the client,The server sent responses to the client,The server will send responses to the client,The server would send responses to the client
base,the article on which you base your application,the article on which you based your application,the article on which you will base your application,the article on which you would base your application
require,It requires a paradigm shift,It required a paradigm shift,It will require a paradigm shift,It would require a paradigm shift
ask,Washington Post 26 September asks a troublesome question,Washington Post 26 September asked a troublesome question,Washington Post 26 September will ask a troublesome question,Washington Post 26 September would ask a troublesome question
increase,The intellectual activity undoubtedly increases the feeling of pleasure,The intellectual activity undoubtedly increased the feeling of pleasure,The intellectual activity will undoubtedly increase the feeling of pleasure,The intellectual activity would undoubtedly increase the feeling of pleasure
accord,It accords with commons sense,It accorded with commons sense,It will accord with commons sense,It would accord with commons sense
have,All of their publications have independent web sites,All of their publications had independent web sites,All of their publications will have independent web sites,All of their publications would have independent web sites
change,They change cars every year,They changed cars every year,They will change cars every year,They would change cars every year
provide,This provides backing,This provided backing,This will provide backing,This would provide backing
love,We love hearing from readers,We loved hearing from readers,We will love hearing from readers,We would love hearing from readers
have,This has several benefits,This had several benefits,This will have several benefits,This would have several benefits
seem,The man himself seems fairly indifferent,The man himself seemed fairly indifferent,The man himself will seem fairly indifferent,The man himself would seem fairly indifferent
happen,Verification happens only once,Verification happened only once,Verification will happen only once,Verification would happen only once
pay,The member pays for the inspection,The member paid for the inspection,The member will pay for the inspection,The member would pay for the inspection
let,The simulator lets out several loud bangs,The simulator let out several loud bangs,The simulator will let out several loud bangs,The simulator would let out several loud bangs
bring,Day five unstable air brings clouds and wind,Day five unstable air brought clouds and wind,Day five unstable air will bring clouds and wind,Day five unstable air would bring clouds and wind
feel,We feel so at home here,We felt so at home here,We will feel so at home here,We would feel so at home here
become,Michael Sperberg-McQueen becomes Architecture Domain Leader,Michael Sperberg-McQueen became Architecture Domain Leader,Michael Sperberg-McQueen will become Architecture Domain Leader,Michael Sperberg-McQueen would become Architecture Domain Leader
find,MacPhisto therefore finds bread for his teeth,MacPhisto therefore found bread for his teeth,MacPhisto will therefore find bread for his teeth,MacPhisto would therefore find bread for his teeth
need,XVideo support needs some love,XVideo support needed some love,XVideo support will need some love,XVideo support would need some love
go,The premium of course goes to the wildlife agency,The premium of course went to the wildlife agency,The premium of course will go to the wildlife agency,The premium of course would go to the wildlife agency
turn,Halogen Software turns first-ever quarterly profit,Halogen Software turned first-ever quarterly profit,Halogen Software will turn first-ever quarterly profit,Halogen Software would turn first-ever quarterly profit
give,It gives us energy,It gave us energy,It will give us energy,It would give us energy
live,He lives in Madrid Spain,He lived in Madrid Spain,He will live in Madrid Spain,He would live in Madrid Spain
follow,We follow in their footsteps,We followed in their footsteps,We will follow in their footsteps,We would follow in their footsteps
call,Any mention of this event calls forth Chinese defiance,Any mention of this event called forth Chinese defiance,Any mention of this event will call forth Chinese defiance,Any mention of this event would call forth Chinese defiance
start,It starts with the data,It started with the data,It will start with the data,It would start with the data
receive,Sauvé receives King Hussein of Jordan,Sauvé received King Hussein of Jordan,Sauvé will receive King Hussein of Jordan,Sauvé would receive King Hussein of Jordan
send,Ctrl-left arrow - sends you to previous page,Ctrl-left arrow - sent you to previous page,Ctrl-left arrow - will send you to previous page,Ctrl-left arrow - would send you to previous page
move,Ireland moves closer to Auto Enrolment Scheme,Ireland moved closer to Auto Enrolment Scheme,Ireland will move closer to Auto Enrolment Scheme,Ireland would move closer to Auto Enrolment Scheme
consider,I consider myself rather liberal,I considered myself rather liberal,I will consider myself rather liberal,I would consider myself rather liberal
love,The public loves it,The public loved it,The public will love it,The public would love it
play,She also plays mandolin and tenor banjo,She also played mandolin and tenor banjo,She will also play mandolin and tenor banjo,She would also play mandolin and tenor banjo
remain,The rest of the deadlines remain the same,The rest of the deadlines remained the same,The rest of the deadlines will remain the same,The rest of the deadlines would remain the same
become,The faculty as a whole becomes your support network,The faculty as a whole became your support network,The faculty as a whole will become your support network,The faculty as a whole would become your support network
keep,The Earth keeps a record of itself,The Earth kept a record of itself,The Earth will keep a record of itself,The Earth would keep a record of itself
see,One sees it,One saw it,One will see it,One would see it
move,God moves the gospel preaching,God moved the gospel preaching,God will move the gospel preaching,God would move the gospel preaching
get,I only get a very jittery display,I only got a very jittery display,I will only get a very jittery display,I would only get a very jittery display
work,They now work in two dioceses,They now worked in two dioceses,They will now work in two dioceses,They would now work in two dioceses
tell,You tell me,You told me,You will tell me,You would tell me
make,It makes a very fine crust,It made a very fine crust,It will make a very fine crust,It would make a very fine crust
learn,It learns your settings,It learned your settings,It will learn your settings,It would learn your settings
feel,Cramer feels strongly about his history,Cramer felt strongly about his history,Cramer will feel strongly about his history,Cramer would feel strongly about his history
find,Masson also finds unverifiable anecdotes,Masson also found unverifiable anecdotes,Masson will also find unverifiable anecdotes,Masson would also find unverifiable anecdotes
make,They make us so proud,They made us so proud,They will make us so proud,They would make us so proud
do,The second fact? What we do here matters,The second fact? What we did here matters,The second fact? What we will do here matters,The second fact? What we would do here matters
set,The constitutional text sets the essential test,The constitutional text set the essential test,The constitutional text will set the essential test,The constitutional text would set the essential test
understand,Jones understands these obstacles,Jones understood these obstacles,Jones will understand these obstacles,Jones would understand these obstacles
hear,It hears,It heard,It will hear,It would hear
bring,He brings us back to Wedgwood,He brought us back to Wedgwood,He will bring us back to Wedgwood,He would bring us back to Wedgwood
consider,I consider myself a left-leaning Democrat,I considered myself a left-leaning Democrat,I will consider myself a left-leaning Democrat,I would consider myself a left-leaning Democrat
remain,Vaccination coverage remains low,Vaccination coverage remained low,Vaccination coverage will remain low,Vaccination coverage would remain low
create,He creates his own language,He created his own language,He will create his own language,He would create his own language
move,The 31-mile Istanbul Metrobus corridor moves 800000 people per day,The 31-mile Istanbul Metrobus corridor moved 800000 people per day,The 31-mile Istanbul Metrobus corridor will move 800000 people per day,The 31-mile Istanbul Metrobus corridor would move 800000 people per day
accord,It accords Eritrean communities unlimited opportunities,It accorded Eritrean communities unlimited opportunities,It will accord Eritrean communities unlimited opportunities,It would accord Eritrean communities unlimited opportunities
come,Moses and Aaron come before Pharaoh,Moses and Aaron came before Pharaoh,Moses and Aaron will come before Pharaoh,Moses and Aaron would come before Pharaoh
think,One again thinks of Lincoln,One again thought of Lincoln,One again will think of Lincoln,One again would think of Lincoln
allow,GUI Software allows easy interaction with the LM3697,GUI Software allowed easy interaction with the LM3697,GUI Software will allow easy interaction with the LM3697,GUI Software would allow easy interaction with the LM3697
feel,A California teacher's union feels the same way,A California teacher's union felt the same way,A California teacher's union will feel the same way,A California teacher's union would feel the same way
increase,Yemen MSF awareness campaign increases enrollment for anti-retroviral treatment,Yemen MSF awareness campaign increased enrollment for anti-retroviral treatment,Yemen MSF awareness campaign will increase enrollment for anti-retroviral treatment,Yemen MSF awareness campaign would increase enrollment for anti-retroviral treatment
want,Donald Trump also wants it bigger,Donald Trump also wanted it bigger,Donald Trump will also want it bigger,Donald Trump would also want it bigger
set,That prism sets up the first dispersion,That prism set up the first dispersion,That prism will set up the first dispersion,That prism would set up the first dispersion
consider,The OECD guidance considers four specific situations,The OECD guidance considered four specific situations,The OECD guidance will consider four specific situations,The OECD guidance would consider four specific situations
grow,Afghanistan Desperation grows outside Kabul airport,Afghanistan Desperation grew outside Kabul airport,Afghanistan Desperation will grow outside Kabul airport,Afghanistan Desperation would grow outside Kabul airport
understand,Zinn understands this,Zinn understood this,Zinn will understand this,Zinn would understand this
call,You call the shots,You called the shots,You will call the shots,You would call the shots
live,These proud South Africans live healthy lives,These proud South Africans lived healthy lives,These proud South Africans will live healthy lives,These proud South Africans would live healthy lives
develop,Biotech firm develops sought-after rapid test,Biotech firm developed sought-after rapid test,Biotech firm will develop sought-after rapid test,Biotech firm would develop sought-after rapid test
like,Rapunzel likes birds,Rapunzel liked birds,Rapunzel will like birds,Rapunzel would like birds
run,Gord runs a video game store,Gord ran a video game store,Gord will run a video game store,Gord would run a video game store
base,He just bases his hopes on that,He just based his hopes on that,He will just base his hopes on that,He would just base his hopes on that
meet,Darnton meets Geertz,Darnton met Geertz,Darnton will meet Geertz,Darnton would meet Geertz
let,Today a young man lets history slip by him,Today a young man let history slip by him,Today a young man will let history slip by him,Today a young man would let history slip by him
call,The American Association of University Professors calls it a crisis,The American Association of University Professors called it a crisis,The American Association of University Professors will call it a crisis,The American Association of University Professors would call it a crisis
lose,You lose Dan,You lost Dan,You will lose Dan,You would lose Dan
be,Travel time one way is approximately 2 hours,Travel time one way was approximately 2 hours,Travel time one way will be approximately 2 hours,Travel time one way would be approximately 2 hours
hear,He probably hears voices too,He probably heard voices too,He probably will hear voices too,He probably would hear voices too
get,UL Grads get the jobs,UL Grads got the jobs,UL Grads will get the jobs,UL Grads would get the jobs
keep,It keeps the rest honest,It kept the rest honest,It will keep the rest honest,It would keep the rest honest
pay,Excellence in Christ-centered higher education pays a lifetime of benefits,Excellence in Christ-centered higher education paid a lifetime of benefits,Excellence in Christ-centered higher education will pay a lifetime of benefits,Excellence in Christ-centered higher education would pay a lifetime of benefits
understand,Everyone understands this,Everyone understood this,Everyone will understand this,Everyone would understand this
like,I like the ease of it,I liked the ease of it,I will like the ease of it,I would like the ease of it
pay,Experience pays off,Experience paid off,Experience will pay off,Experience would pay off
take,glBitmap takes seven arguments,glBitmap took seven arguments,glBitmap will take seven arguments,glBitmap would take seven arguments
pay,The client only pays the cost of materials,The client only paid the cost of materials,The client will only pay the cost of materials,The client would only pay the cost of materials
meet,The TPS 2500 S meets ISO Standard 22007-2,The TPS 2500 S met ISO Standard 22007-2,The TPS 2500 S will meet ISO Standard 22007-2,The TPS 2500 S would meet ISO Standard 22007-2
require,Some features on this site require use of a password,Some features on this site required use of a password,Some features on this site will require use of a password,Some features on this site would require use of a password
remain,Nothing beside remains,Nothing beside remained,Nothing beside will remain,Nothing beside would remain
appear,None of it appears in the play,None of it appeared in the play,None of it will appear in the play,None of it would appear in the play
work,David Cronin from Dublin works for the Inter Pr,David Cronin from Dublin worked for the Inter Pr,David Cronin from Dublin will work for the Inter Pr,David Cronin from Dublin would work for the Inter Pr
have,The results have an interesting interpretation,The results had an interesting interpretation,The results will have an interesting interpretation,The results would have an interesting interpretation
change,It changes your life,It changed your life,It will change your life,It would change your life
be,This problem is NP hard,This problem was NP hard,This problem will be NP hard,This problem would be NP hard
hold,The British Library holds about 4000 Greek ostraca,The British Library held about 4000 Greek ostraca,The British Library will hold about 4000 Greek ostraca,The British Library would hold about 4000 Greek ostraca
base,They base their decisions on these,They based their decisions on these,They will base their decisions on these,They would base their decisions on these
continue,We continue with the switch statement,We continued with the switch statement,We will continue with the switch statement,We would continue with the switch statement
start,Honesty starts within yourself,Honesty started within yourself,Honesty will start within yourself,Honesty would start within yourself
require,Evaluation of page caching schemes typically requires a page access model,Evaluation of page caching schemes typically required a page access model,Evaluation of page caching schemes will typically require a page access model,Evaluation of page caching schemes would typically require a page access model
hold,The repository now holds 50 published collections,The repository now held 50 published collections,The repository will now hold 50 published collections,The repository would now hold 50 published collections
become,Winnipeg Clubs become Winnipeg Monarchs,Winnipeg Clubs became Winnipeg Monarchs,Winnipeg Clubs will become Winnipeg Monarchs,Winnipeg Clubs would become Winnipeg Monarchs
serve,The elements serve the same immersive goal,The elements served the same immersive goal,The elements will serve the same immersive goal,The elements would serve the same immersive goal
add,The musicians in her onstage band add some banter,The musicians in her onstage band added some banter,The musicians in her onstage band will add some banter,The musicians in her onstage band would add some banter
like,We like that idea,We liked that idea,We will like that idea,We would like that idea
grow,Semmelweis grows angry and polemical,Semmelweis grew angry and polemical,Semmelweis will grow angry and polemical,Semmelweis would grow angry and polemical
provide,The fellowship provides,The fellowship provided,The fellowship will provide,The fellowship would provide
turn,It turns steak into shoe leather,It turned steak into shoe leather,It will turn steak into shoe leather,It would turn steak into shoe leather
use,Scotland uses UK plugs,Scotland used UK plugs,Scotland will use UK plugs,Scotland would use UK plugs
consider,Kit considers herself a life-long learner,Kit considered herself a life-long learner,Kit will consider herself a life-long learner,Kit would consider herself a life-long learner
try,He tries out different things,He tried out different things,He will try out different things,He would try out different things
start,The game starts from a castle,The game started from a castle,The game will start from a castle,The game would start from a castle
have,Actor and activist Jameela Jamil has unfinished business,Actor and activist Jameela Jamil had unfinished business,Actor and activist Jameela Jamil will have unfinished business,Actor and activist Jameela Jamil would have unfinished business
lead,Trump leads this defense,Trump led this defense,Trump will lead this defense,Trump would lead this defense
offer,Klipfolio chief innovation officer Allan Wille offers a few tips,Klipfolio chief innovation officer Allan Wille offered a few tips,Klipfolio chief innovation officer Allan Wille will offer a few tips,Klipfolio chief innovation officer Allan Wille would offer a few tips
want,She wants a little refreshment here,She wanted a little refreshment here,She will want a little refreshment here,She would want a little refreshment here
make,We make web sites,We made web sites,We will make web sites,We would make web sites
learn,The smart person learns from each mistake,The smart person learned from each mistake,The smart person will learn from each mistake,The smart person would learn from each mistake
feel,Rushforth feels the same way,Rushforth felt the same way,Rushforth will feel the same way,Rushforth would feel the same way
change,You change the world,You changed the world,You will change the world,You would change the world
remain,Some print bibliographies and catalogues remain essential reference sources,Some print bibliographies and catalogues remained essential reference sources,Some print bibliographies and catalogues will remain essential reference sources,Some print bibliographies and catalogues would remain essential reference sources
turn,She turns over nicely too,She turned over nicely too,She will turn over nicely too,She would turn over nicely too
come,The cheapest one comes for Rs 40-45 lakh,The cheapest one came for Rs 40-45 lakh,The cheapest one will come for Rs 40-45 lakh,The cheapest one would come for Rs 40-45 lakh
do,You do,You did,You will do,You would do
lead,John Dwyer leads the group,John Dwyer led the group,John Dwyer will lead the group,John Dwyer would lead the group
change,Nothing in the speech tonight changes that at all,Nothing in the speech tonight changed that at all,Nothing in the speech tonight will change that at all,Nothing in the speech tonight would change that at all
tell,Chicken bones tell true story of Pacific migration,Chicken bones told true story of Pacific migration,Chicken bones will tell true story of Pacific migration,Chicken bones would tell true story of Pacific migration
grow,Today we grow grapes,Today we grew grapes,Today we will grow grapes,Today we would grow grapes
receive,Today Georgia election officials receive death threats,Today Georgia election officials received death threats,Today Georgia election officials will receive death threats,Today Georgia election officials would receive death threats
work,It works either way,It worked either way,It will work either way,It would work either way
send,Russia sends rescue team to Japan,Russia sent rescue team to Japan,Russia will send rescue team to Japan,Russia would send rescue team to Japan
look,This interior person looks at everyone equally,This interior person looked at everyone equally,This interior person will look at everyone equally,This interior person would look at everyone equally
turn,you turn me inside out,you turned me inside out,you will turn me inside out,you would turn me inside out
believe,Richard Nixon believes strongly in black capitalism,Richard Nixon believed strongly in black capitalism,Richard Nixon will believe strongly in black capitalism,Richard Nixon would believe strongly in black capitalism
support,We support this approach,We supported this approach,We will support this approach,We would support this approach
serve,The Purple Line serves Koreatown,The Purple Line served Koreatown,The Purple Line will serve Koreatown,The Purple Line would serve Koreatown
bring,Lindley Your book brings history to life,Lindley Your book brought history to life,Lindley Your book will bring history to life,Lindley Your book would bring history to life
come,All come with Gigabit connection,All came with Gigabit connection,All will come with Gigabit connection,All would come with Gigabit connection
grow,Multi-colored fibers often grow from these lesions,Multi-colored fibers often grew from these lesions,Multi-colored fibers will often grow from these lesions,Multi-colored fibers would often grow from these lesions
require,All Out Return flights requires GPS verification,All Out Return flights required GPS verification,All Out Return flights will require GPS verification,All Out Return flights would require GPS verification
start,He starts off well enough,He started off well enough,He will start off well enough,He would start off well enough
require,Dollar cost averaging requires discipline and consistency,Dollar cost averaging required discipline and consistency,Dollar cost averaging will require discipline and consistency,Dollar cost averaging would require discipline and consistency
create,This creates new challenges and opportunities,This created new challenges and opportunities,This will create new challenges and opportunities,This would create new challenges and opportunities
change,Honda changes that slightly,Honda changed that slightly,Honda will change that slightly,Honda would change that slightly
lead,Yves Lafon leads the Activity,Yves Lafon led the Activity,Yves Lafon will lead the Activity,Yves Lafon would lead the Activity
send,She sends a message about reintegration,She sent a message about reintegration,She will send a message about reintegration,She would send a message about reintegration
use,The version number uses one of these forms,The version number used one of these forms,The version number will use one of these forms,The version number would use one of these forms
read,This afternoon he reads a mystery,This afternoon he read a mystery,This afternoon he will read a mystery,This afternoon he would read a mystery
love,I love her so profoundly,I loved her so profoundly,I will love her so profoundly,I would love her so profoundly
consider,It also considers paddy,It also considered paddy,It will also consider paddy,It would also consider paddy
happen,This happens all the time,This happened all the time,This will happen all the time,This would happen all the time
leave,He leaves out nothing,He left out nothing,He will leave out nothing,He would leave out nothing
serve,That exercise serves many functions,That exercise served many functions,That exercise will serve many functions,That exercise would serve many functions
feel,I feel incredibly fortunate,I felt incredibly fortunate,I will feel incredibly fortunate,I would feel incredibly fortunate
develop,The love for books develops in the family,The love for books developed in the family,The love for books will develop in the family,The love for books would develop in the family
get,It gets better,It got better,It will get better,It would get better
consider,The middle class considers family and lifestyle important,The middle class considered family and lifestyle important,The middle class will consider family and lifestyle important,The middle class would consider family and lifestyle important
learn,Safety system learns from accidents of others,Safety system learned from accidents of others,Safety system will learn from accidents of others,Safety system would learn from accidents of others
give,All wood especially oak gives off acid,All wood especially oak gave off acid,All wood especially oak will give off acid,All wood especially oak would give off acid
play,Lyford plays a mad scientist,Lyford played a mad scientist,Lyford will play a mad scientist,Lyford would play a mad scientist
read,The server reads the ACL file,The server read the ACL file,The server will read the ACL file,The server would read the ACL file
change,This changes your life,This changed your life,This will change your life,This would change your life
work,The default folder normally works,The default folder normally worked,The default folder will normally work,The default folder would normally work
show,This illustration from a contemporary guidebook shows the ship in construction,This illustration from a contemporary guidebook showed the ship in construction,This illustration from a contemporary guidebook will show the ship in construction,This illustration from a contemporary guidebook would show the ship in construction
know,No one knows,No one knew,No one will know,No one would know
offer,We offer,We offered,We will offer,We would offer
offer,OTA also offers an Associates Program,OTA also offered an Associates Program,OTA will also offer an Associates Program,OTA would also offer an Associates Program
lose,Everybody loses in the end,Everybody lost in the end,Everybody will lose in the end,Everybody would lose in the end
begin,Auction begins at 9am each day,Auction began at 9am each day,Auction will begin at 9am each day,Auction would begin at 9am each day
follow,Success follows almost instantly,Success followed almost instantly,Success will follow almost instantly,Success would follow almost instantly
learn,Today your host learns a lesson,Today your host learned a lesson,Today your host will learn a lesson,Today your host would learn a lesson
allow,The software architecture allows easy extensions,The software architecture allowed easy extensions,The software architecture will allow easy extensions,The software architecture would allow easy extensions
add,This code adds a standard poll module,This code added a standard poll module,This code will add a standard poll module,This code would add a standard poll module
give,Table 1 gives the detailed comparisons,Table 1 gave the detailed comparisons,Table 1 will give the detailed comparisons,Table 1 would give the detailed comparisons
believe,Everyone believes this story,Everyone believed this story,Everyone will believe this story,Everyone would believe this story
like,I like your program,I liked your program,I will like your program,I would like your program
receive,The endpoint receives a message,The endpoint received a message,The endpoint will receive a message,The endpoint would receive a message
show,The regression-based algorithm however shows interesting behavior,The regression-based algorithm however showed interesting behavior,The regression-based algorithm however will show interesting behavior,The regression-based algorithm however would show interesting behavior
have,I have absolutely no idea,I had absolutely no idea,I will have absolutely no idea,I would have absolutely no idea
create,A standard creates a medium for communication,A standard created a medium for communication,A standard will create a medium for communication,A standard would create a medium for communication
provide,The hierarchy provides three benefits,The hierarchy provided three benefits,The hierarchy will provide three benefits,The hierarchy would provide three benefits
put,Group charter puts JSON serialization as requirement,Group charter put JSON serialization as requirement,Group charter will put JSON serialization as requirement,Group charter would put JSON serialization as requirement
come,Some of the endorsements come with qualifications,Some of the endorsements came with qualifications,Some of the endorsements will come with qualifications,Some of the endorsements would come with qualifications
like,Nobody likes change,Nobody liked change,Nobody will like change,Nobody would like change
use,XQuery and DQL use XPath locations paths,XQuery and DQL used XPath locations paths,XQuery and DQL will use XPath locations paths,XQuery and DQL would use XPath locations paths
need,It needs your help,It needed your help,It will need your help,It would need your help
appear,A bug report template appears in this directory,A bug report template appeared in this directory,A bug report template will appear in this directory,A bug report template would appear in this directory
hold,We hold the seven seas,We held the seven seas,We will hold the seven seas,We would hold the seven seas
have,None of the publications have any digital archives,None of the publications had any digital archives,None of the publications will have any digital archives,None of the publications would have any digital archives
play,Mr Worsham plays no role in FOIA,Mr Worsham played no role in FOIA,Mr Worsham will play no role in FOIA,Mr Worsham would play no role in FOIA
show,The first state shows the keywords,The first state showed the keywords,The first state will show the keywords,The first state would show the keywords
lose,Greenpeace loses millions in donations,Greenpeace lost millions in donations,Greenpeace will lose millions in donations,Greenpeace would lose millions in donations
increase,It also increases the policy's cash value,It also increased the policy's cash value,It will also increase the policy's cash value,It would also increase the policy's cash value
require,Length fields require constant conversion,Length fields required constant conversion,Length fields will require constant conversion,Length fields would require constant conversion
add,An inscription adds to the problem,An inscription added to the problem,An inscription will add to the problem,An inscription would add to the problem
be,Chinese and English are the official languages,Chinese and English were the official languages,Chinese and English will be the official languages,Chinese and English would be the official languages
want,I want our baby,I wanted our baby,I will want our baby,I would want our baby
do,The patch submitter does the following,The patch submitter did the following,The patch submitter will do the following,The patch submitter would do the following
hear,She hears that a lot,She heard that a lot,She will hear that a lot,She would hear that a lot
like,We like routine,We liked routine,We will like routine,We would like routine
receive,Every generation receives its challenge,Every generation received its challenge,Every generation will receive its challenge,Every generation would receive its challenge
need,DRI needs a memory manager,DRI needed a memory manager,DRI will need a memory manager,DRI would need a memory manager
allow,This allows for daily updates,This allowed for daily updates,This will allow for daily updates,This would allow for daily updates
show,Figure 1 shows all these components,Figure 1 showed all these components,Figure 1 will show all these components,Figure 1 would show all these components
try,She tries anyways,She tried anyways,She will try anyways,She would try anyways
hear,He still hears voices,He still heard voices,He will still hear voices,He would still hear voices
be,The contributions of this work are three-fold,The contributions of this work were three-fold,The contributions of this work will be three-fold,The contributions of this work would be three-fold
increase,The rail-to-rail input stage further increases its versatility,The rail-to-rail input stage further increased its versatility,The rail-to-rail input stage will further increase its versatility,The rail-to-rail input stage would further increase its versatility
take,It takes a list of files,It took a list of files,It will take a list of files,It would take a list of files
start,It all starts with a conversation,It all started with a conversation,It will all start with a conversation,It would all start with a conversation
feel,I feel comfortable with him,I felt comfortable with him,I will feel comfortable with him,I would feel comfortable with him
seem,That seems so funny to me,That seemed so funny to me,That will seem so funny to me,That would seem so funny to me
serve,This mischaracterization of Carmichael serves a purpose,This mischaracterization of Carmichael served a purpose,This mischaracterization of Carmichael will serve a purpose,This mischaracterization of Carmichael would serve a purpose
turn,I turn the page,I turned the page,I will turn the page,I would turn the page
come,Winter comes,Winter came,Winter will come,Winter would come
add,IRIs and internationalization issues add some subtleties here,IRIs and internationalization issues added some subtleties here,IRIs and internationalization issues will add some subtleties here,IRIs and internationalization issues would add some subtleties here
see,China sees it somewhat differently,China saw it somewhat differently,China will see it somewhat differently,China would see it somewhat differently
consider,Pakistan considers Kashmir a disputed territory,Pakistan considered Kashmir a disputed territory,Pakistan will consider Kashmir a disputed territory,Pakistan would consider Kashmir a disputed territory
take,The signing of the documents normally takes place at Rideau Hall,The signing of the documents normally took place at Rideau Hall,The signing of the documents will normally take place at Rideau Hall,The signing of the documents would normally take place at Rideau Hall
grow,We grow food here,We grew food here,We will grow food here,We would grow food here
meet,Presentation Dynamism in XML Functional Programming meets SMIL Animation,Presentation Dynamism in XML Functional Programming met SMIL Animation,Presentation Dynamism in XML Functional Programming will meet SMIL Animation,Presentation Dynamism in XML Functional Programming would meet SMIL Animation
set,Atom-smasher sets record energy levels CERN,Atom-smasher set record energy levels CERN,Atom-smasher will set record energy levels CERN,Atom-smasher would set record energy levels CERN
learn,Georgina learns the truth about Noah,Georgina learned the truth about Noah,Georgina will learn the truth about Noah,Georgina would learn the truth about Noah
support,He also proudly supports the Montréal start-up scene,He also proudly supported the Montréal start-up scene,He will also proudly support the Montréal start-up scene,He would also proudly support the Montréal start-up scene
serve,He also serves as our CPD director,He also served as our CPD director,He will also serve as our CPD director,He would also serve as our CPD director
remain,That remains the position,That remained the position,That will remain the position,That would remain the position
seem,Some of the recipes seem exotic,Some of the recipes seemed exotic,Some of the recipes will seem exotic,Some of the recipes would seem exotic
keep,The copper mug keeps it nice and cold,The copper mug kept it nice and cold,The copper mug will keep it nice and cold,The copper mug would keep it nice and cold
ask,I ask,I asked,I will ask,I would ask
begin,The outcry begins anew,The outcry began anew,The outcry will begin anew,The outcry would begin anew
leave,That clock leaves no room for absurdity,That clock left no room for absurdity,That clock will leave no room for absurdity,That clock would leave no room for absurdity
understand,No one understands his motivations,No one understood his motivations,No one will understand his motivations,No one would understand his motivations
turn,They turn on you,They turned on you,They will turn on you,They would turn on you
support,I support a Burnaby Mountain Gondola,I supported a Burnaby Mountain Gondola,I will support a Burnaby Mountain Gondola,I would support a Burnaby Mountain Gondola
write,Al Kamen writes for the Washington Post,Al Kamen wrote for the Washington Post,Al Kamen will write for the Washington Post,Al Kamen would write for the Washington Post
lead,He leads Moberg through his yard,He led Moberg through his yard,He will lead Moberg through his yard,He would lead Moberg through his yard
have,We have the following,We had the following,We will have the following,We would have the following
increase,Time Savings – Fiber lasers increase throughput speeds,Time Savings – Fiber lasers increased throughput speeds,Time Savings – Fiber lasers will increase throughput speeds,Time Savings – Fiber lasers would increase throughput speeds
know,Paul knows his stuff,Paul knew his stuff,Paul will know his stuff,Paul would know his stuff
