target,x,y,d1,d2
establish,I established HNN in 2001,We established HNN in 2001,You established HNN in 2001,They established HNN in 2001
save,It saved my life,They saved my life,You saved my life,I saved my life
bring,It eventually brought its reward,They eventually brought their reward,You eventually brought your reward,We eventually brought our reward
have,It also has good portability,They also have good portability,You also have good portability,We also have good portability
tell,He told al-Sharq al-Awsat,They told al-Sharq al-Awsat,You told al-Sharq al-Awsat,I told al-Sharq al-Awsat
follow,I followed orders,We followed orders,You followed orders,They followed orders
say,She said,They said,You said,I said
draw,It drew very strong responses then,They drew very strong responses then,You drew very strong responses then,We drew very strong responses then
sit,I sat at Greg's table,We sat at Greg's table,You sat at Greg's table,They sat at Greg's table
state,It states your financial eligibility,They state your financial eligibility,You state your financial eligibility,We state your financial eligibility
break,He breaks in,They break in,You break in,I breaks in
make,It makes me comfortable,They make me comfortable,You make me comfortable,I make myself comfortable
seem,It seems like an impossible contradiction,They seem like impossible contradictions,You seem like an impossible contradiction,I seem like an impossible contradiction
close,I'll close it out,We'll close it out,She'll close it out,They'll close it out
continue,It continues through December 28,They continue through December 28,I continue through December 28,You continues through December 28
enjoy,I also kind of enjoyed it,We also kind of enjoyed it,She also kind of enjoyed it,They also kind of enjoyed it
go,It goes on,They go on,I go on,You go on
be,It must be customisable,They must be customisable,You must be customisable,I must be customisable
seem,It seemed natural then,They seemed natural then,I seemed natural then,You seemed natural then
grow,It can grow three inches a day,They can grow three inches a day,You can grow three inches a day,I can grow three inches a day
offer,I cheerfully offer my assistance,We cheerfully offer our assistance,She cheerfully offers her assistance,They cheerfully offer their assistance
announce,He announced on the platform,They announced on the platform,We announced on the platform,I announced on the platform
add,I would add one more,We would add one more,She would add one more,They would add one more
remove,He also removed a few small polyps,They also removed a few small polyps,I also removed a few small polyps,We also removed a few small polyps
cover,She covers all three,They cover all three,We cover all three,I cover all three
agree,I absolutely agree,We absolutely agree,She absolutely agrees,They absolutely agree
complete,He completed his PhD in 2021,They completed their PhD in 2021,I completed my PhD in 2021,You completed your PhD in 2021
save,It saves them from deadly malnutrition,They save them from deadly malnutrition,I save them from deadly malnutrition,You save them from deadly malnutrition
connect,It connects you with Mother Earth,They connect you with Mother Earth,I connect you with Mother Earth,We connect you with Mother Earth
return,It returns 629 results,They return 629 results,I return 629 results,We return 629 results
describe,He describes all kinds of pumps,They describe all kinds of pumps,I describe all kinds of pumps,We describe all kinds of pumps
compare,I can compare them,We can compare them,She can compare them,They can compare them
accord,It accords with commons sense,They accord with commons sense,I accord with commons sense,We accord with commons sense
hold,He holds a degree in mathematics,They hold a degree in mathematics,I hold a degree in mathematics,You hold a degree in mathematics
fall,I immediately fell in love,We immediately fell in love,She immediately fell in love,They immediately fell in love
claim,I never claimed anything of the sort,We never claimed anything of the sort,She never claimed anything of the sort,They never claimed anything of the sort
face,He also faced discrimination in San Diego,They also faced discrimination in San Diego,I also faced discrimination in San Diego,We also faced discrimination in San Diego
enable,It will enable legal practitioners to,They will enable legal practitioners to,You will enable legal practitioners to,We will enable legal practitioners to
establish,It will establish a web presence,They will establish a web presence,You will establish a web presence,We will establish a web presence
enjoy,I thoroughly enjoyed every class,We thoroughly enjoyed every class,You thoroughly enjoyed every class,They thoroughly enjoyed every class
believe,I could not believe my eyes,We could not believe my eyes,You could not believe my eyes,They could not believe my eyes
refer,I refer to Norm Rothery,We refer to Norm Rothery,You refer to Norm Rothery,They refer to Norm Rothery
see,You could see the data load,You could see the data load,I could see the data load,We could see the data load
design,He also designed some very interesting bullets,They also designed some very interesting bullets,I also designed some very interesting bullets,We also designed some very interesting bullets
believe,I believe not,We believe not,You believe not,They believe not
compare,You can even compare MSRP,You can even compare MSRP,I can even compare MSRP,We can even compare MSRP
remain,I also remain undecided,We also remain undecided,You also remain undecided,They also remain undecided
ensure,You should ensure that,You should ensure that,We should ensure that,They should ensure that
exist,I exist in it,We exist in it,You exist in it,They exist in it
speak,He could just as easily speak of our paternity,They could just as easily speak of our paternity,You could just as easily speak of our paternity,We could just as easily speak of our paternity
report,You can report abuse and neglect anonymously,You can report abuse and neglect anonymously,I can report abuse and neglect anonymously,We can report abuse and neglect anonymously
do,It does this in two ways,They do this in two ways,You do this in two ways,We do this in two ways
buy,I bought them all albums,We bought them all albums,You bought them all albums,They bought them all albums
come,it came with the car,they came with the car,you came with the car,we came with the car
share,I share those suspicions,We share those suspicions,You share those suspicions,They share those suspicions
walk,I practically walked right by this group,We practically walked right by this group,They practically walked right by this group,You practically walked right by this group
hear,You will hear from us shortly after,You will hear from us shortly after,He will hear from us shortly after,I will hear from us shortly after
turn,It turns confrontation into negotiation,They turn confrontation into negotiation,You turn confrontation into negotiation,I turn confrontation into negotiation
increase,It would also increase their influence over government,They would also increase their influence over government,You would also increase their influence over government,I would also increase their influence over government
join,I joined the band,We joined the band,You joined the band,They joined the band
want,He now wants it back,They now want it back,You now want it back,We now want it back
remain,He remained sexually active,They remained sexually active,You remained sexually active,We remained sexually active
offer,He offered me friendship,They offered me friendship,You offered me friendship,We offered me friendship
learn,You will learn,You will learn,He will learn,I will learn
represent,It represents the nominal FPS value,They represent the nominal FPS value,You represent the nominal FPS value,I represent the nominal FPS value
share,You can share your lightbox with others,You can share your lightbox with others,He can share your lightbox with others,I can share your lightbox with others
complete,You will complete the course with,You will complete the course with,He will complete the course with,I will complete the course with
consider,You consider my beliefs a rant?,You consider my beliefs a rant?,He considers my beliefs a rant?,I consider your beliefs a rant?
expect,I expected tears,We expected tears,You expected tears,They expected tears
stay,I'll stay out,We'll stay out,You'll stay out,They'll stay out
love,I love that book,We love that book,You love that book,They love that book
try,I'll try this product next,We'll try this product next,You'll try this product next,They'll try this product next
compare,You should compare apples to apples,You should compare apples to apples,He should compare apples to apples,I should compare apples to apples
install,You can't install it,You can't install it,He can't install it,I can't install it
announce,I will announce the entire card tomorrow,We will announce the entire card tomorrow,You will announce the entire card tomorrow,They will announce the entire card tomorrow
spend,I spent my time as usual,We spent our time as usual,You spent your time as usual,They spent their time as usual
support,I support single-payer,We support single-payer,You support single-payer,They support single-payer
learn,He learned medicine from his father,They learned medicine from his father,You learned medicine from his father,We learned medicine from his father
perform,She performs regularly throughout Central Florida,They perform regularly throughout Central Florida,I perform regularly throughout Central Florida,You perform regularly throughout Central Florida
fill,It fills my heart and soul,They fill their hearts and souls,You fill your heart and soul,I fill his heart and soul
post,I posted your suggestion,We posted your suggestion,He posted your suggestion,They posted your suggestion
choose,You choose,You choose,She chooses,They choose
turn,It'll also turn us into machines,They'll also turn us into machines,You'll also turn us into machines,I'll also turn us into machines
ask,he asks,they ask,I ask,you ask
cut,I'll cut out the Eldritch Horror,We'll cut out the Eldritch Horror,They'll cut out the Eldritch Horror,You'll cut out the Eldritch Horror
draw,It draws things in,They draw things in,You draw things in,I draw things in
claim,I claim FIFTH,We claim FIFTH,You claim FIFTH,They claim FIFTH
sign,You better sign quick,You better sign quick,She better sign quick,I better sign quick
remain,He will remain on the board,They will remain on the board,I will remain on the board,You will remain on the board
feel,I felt like a small boy,We felt like small boys,You felt like a small boy,They felt like small boys
cut,She really cuts a remarkable figure,They really cut a remarkable figure,You really cut a remarkable figure,I really cut a remarkable figure
become,He also became an avid reader,They also became avid readers,You also became an avid reader,We also became avid readers
contain,It contained a spelling mistake,They contained a spelling mistake,You contained a spelling mistake,I contained a spelling mistake
know,I know thee not,We know thee not,They know thee not,She knows thee not
want,You want proof?,You want proof?,She wants proof?,They want proof?
address,He then addressed the sixth-graders specifically,They then addressed the sixth-graders specifically,I then addressed the sixth-graders specifically,You then addressed the sixth-graders specifically
remember,she remembered,they remembered,I remembered,you remembered
select,You just select Zune from your list,You just select Zune from your list,She just selects Zune from your list,We just select Zune from your list
get,You get an error message like,You get an error message like,She gets an error message like,I get an error message like
end,It ended in chaos and disaster,They ended in chaos and disaster,You ended in chaos and disaster,I ended in chaos and disaster
hit,I finally hit the jackpot,We finally hit the jackpot,You finally hit the jackpot,They finally hit the jackpot
name,He named it Charlotte Dundas,They named it Charlotte Dundas,You named it Charlotte Dundas,We named it Charlotte Dundas
open,I opened it only last week,We opened it only last week,You opened it only last week,They opened it only last week
send,I sent another follow up,We sent another follow up,You sent another follow up,They sent another follow up
ask,I asked,We asked,They asked,You asked
kill,It kills people,They kill people,I kill people,You kill people
buy,He bought his fear an arsenal,They bought his fear an arsenal,We bought his fear an arsenal,You bought his fear an arsenal
start,You can even start with Blazes,You can even start with Blazes,I can even start with Blazes,We can even start with Blazes
operate,It will operate as an independent organisation,They will operate as an independent organisation,We will operate as an independent organisation,You will operate as an independent organisation
install,It installs quickly,They install quickly,She installs quickly,You install quickly
claim,You cannot claim reimbursement for,You cannot claim reimbursement for,I cannot claim reimbursement for,We cannot claim reimbursement for
regard,She regarded Rowena and her mother,They regarded Rowena and her mother,We regarded Rowena and her mother,I regarded Rowena and her mother
like,I like spicy food,We like spicy food,They like spicy food,You like spicy food
develop,It developed verisimilitude in its distinctiveness,They developed verisimilitude in their distinctiveness,She developed verisimilitude in her distinctiveness,You developed verisimilitude in your distinctiveness
establish,She also established her own private practice,They also established their own private practice,I also established my own private practice,You also established your own private practice
announce,he announces,they announce,I announce,you announce
identify,You identify the destinations,You identify the destinations,I identify the destinations,We identify the destinations
thank,I thank you for your time,We thank you for your time,They thank you for your time,He thanks you for your time
hit,I'll hit images,We'll hit images,They'll hit images,You'll hit images
increase,I will increase funding for libraries,We will increase funding for libraries,They will increase funding for libraries,You will increase funding for libraries
perform,She performed in Canadian prisons,They performed in Canadian prisons,I performed in Canadian prisons,You performed in Canadian prisons
say,she said wearily,they said wearily,I said wearily,you said wearily
give,I gave my talk,We gave our talk,They gave their talk,You gave your talk
send,You can send email to me here,You can send email to me here,I can send email to you here,We can send email to you here
go,I can't and won't go back home,We can't and won't go back home,You can't and won't go back home,They can't and won't go back home
protect,It protects both consumers and farmers,They protect both consumers and farmers,I protect both consumers and farmers,You protect both consumers and farmers
design,He designed it,They designed it,I designed it,You designed it
fail,It fails,They fail,I fail,You fail
present,He will present on Thursday,They will present on Thursday,I will present on Thursday,You will present on Thursday
mention,You mentioned your students earlier,You mentioned your students earlier,He mentioned his students earlier,I mentioned her students earlier
perform,She also performed in a dance review,They also performed in a dance review,You also performed in a dance review,I also performed in a dance review
call,You may call them at 1-877-557-7525,You may call them at 1-877-557-7525,He may call them at 1-877-557-7525,We may call them at 1-877-557-7525
take,It took 7 days,They took 7 days,I took 7 days,You took 7 days
complete,You can complete the survey if,You can complete the survey if,I can complete the survey if,She can complete the survey if
build,He built a perpetual-motion machine,They built perpetual-motion machines,You built a perpetual-motion machine,I built a perpetual-motion machine
stand,I stand by my assessments,We stand by our assessments,He stands by his assessments,They stand by their assessments
support,I support a Burnaby Mountain Gondola,We support a Burnaby Mountain Gondola,He supports a Burnaby Mountain Gondola,They support a Burnaby Mountain Gondola
write,He wrote in his journal,They wrote in his journal,You wrote in his journal,I wrote in his journal
prepare,He prepared the questions,They prepared the questions,You prepared the questions,I prepared the questions
run,It runs through July 21,They run through July 21,You run through July 21,I run through July 21
identify,He identified orders of infinity,They identified orders of infinity,You identified orders of infinity,I identified orders of infinity
include,It includes the FISH,They include the FISH,You include the FISH,I include the FISH
ensure,It ensures power over the propertyless,They ensure power over the propertyless,You ensure power over the propertyless,I ensure power over the propertyless
sign,You can sign up for Jim's blog,You can sign up for Jim's blog,He can sign up for Jim's blog,We can sign up for Jim's blog
suggest,I suggest precisely the opposite,We suggest precisely the opposite,They suggest precisely the opposite,He suggests precisely the opposite
show,I will show you soon,We will show you soon,They will show you soon,She will show you soon
cut,You can't cut taxes,You can't cut taxes,He can't cut taxes,We can't cut taxes
accept,You can also accept multiple mappings at once,You can also accept multiple mappings at once,He can also accept multiple mappings at once,I can also accept multiple mappings at once
break,I broke two nails,We broke two nails,They broke two nails,You broke two nails
feature,It also features two,They also feature two,You also feature two,We also feature two
present,I present,We present,They present,She presents
remain,I remain cynical,We remain cynical,They remain cynical,He remains cynical
sit,He sat there for several years,They sat there for several years,You sat there for several years,I sat there for several years
reach,I can't reach anyone,We can't reach anyone,You can't reach anyone,They can't reach anyone
establish,You must first establish a relationship,You must first establish a relationship,He must first establish a relationship,We must first establish a relationship
know,You know their story right?,You know their story right?,She knows their story right?,They know their story right?
note,She noted examples of successes in the,They noted examples of successes in the,You noted examples of successes in the,I noted examples of successes in the
watch,You can watch the hearing online,You can watch the hearing online,They can watch the hearing online,I can watch the hearing online
need,I only needed 4 inches,We only needed 4 inches,You only needed 4 inches,They only needed 4 inches
leave,It leaves out the bad parts,They leave out the bad parts,You leave out the bad parts,We leave out the bad parts
work,I also worked on the tunnel,We also worked on the tunnel,You also worked on the tunnel,They also worked on the tunnel
announce,I announced it,We announced it,You announced it,They announced it
install,I also installed the rear wing piece,We also installed the rear wing piece,You also installed the rear wing piece,They also installed the rear wing piece
continue,It continues,They continue,You continue,We continue
feel,I felt bad,We felt bad,You felt bad,They felt bad
open,You can open an account in minutes,You can open an account in minutes,They can open an account in minutes,I can open an account in minutes
be,I'm a prospective customer,We're prospective customers,You're a prospective customer,They're prospective customers
try,He tried once again,They tried once again,You tried once again,We tried once again
receive,You must opt-in via subscription to receive these alerts,You must opt-in via subscription to receive these alerts,He must opt-in via subscription to receive these alerts,They must opt-in via subscription to receive these alerts
walk,I would walk first,We would walk first,You would walk first,They would walk first
recommend,I would recommend this team to anyone,We would recommend this team to anyone,You would recommend this team to anyone,They would recommend this team to anyone
win,You cannot win peace on empty stomachs,You cannot win peace on empty stomachs,They cannot win peace on empty stomachs,We cannot win peace on empty stomachs
think,I still think they should not,We still think they should not,You still think they should not,He still thinks they should not
lead,It can lead to,They can lead to,You can lead to,We can lead to
produce,He produced no single masterpiece,They produced no single masterpiece,You produced no single masterpiece,We produced no single masterpiece
publish,She published a memoir in 2006,They published a memoir in 2006,You published a memoir in 2006,We published a memoir in 2006
hold,I held up the directory,We held up the directory,You held up the directory,They held up the directory
complete,She completed her B,They completed their B,You completed your B,We completed our B
stop,She never stopped,They never stopped,You never stopped,I never stopped
save,It will save them,They will save them,You will save them,I will save them
publish,You publish a report,You publish a report,He publishes a report,They publish a report
plan,I always plan like that,We always plan like that,You always plan like that,They always plan like that
identify,I identified in that way,We identified in that way,You identified in that way,They identified in that way
get,It never actually got a name,They never actually got a name,You never actually got a name,We never actually got a name
learn,You can learn more about HEA 1120 HERE,You can learn more about HEA 1120 HERE,He can learn more about HEA 1120 HERE,They can learn more about HEA 1120 HERE
say,I said sure,We said sure,You said sure,They said sure
publish,You publish the file,You publish the file,He publishes the file,They publish the file
finish,He finished with another wonderful term,They finished with another wonderful term,You finished with another wonderful term,I finished with another wonderful term
hit,It hits all the right notes,They hit all the right notes,You hit all the right notes,We hit all the right notes
receive,He received an official reprimand,They received an official reprimand,You received an official reprimand,I received an official reprimand
bear,I could not bear such a horrid world,We could not bear such a horrid world,You could not bear such a horrid world,They could not bear such a horrid world
check,I'll check it on Monday,We'll check it on Monday,You'll check it on Monday,They'll check it on Monday
manage,He managed a slight smile,They managed a slight smile,You managed a slight smile,I managed a slight smile
refer,I would just refer you,We would just refer you,You would just refer you,They would just refer you
grow,He grew up in the church,They grew up in the church,You grew up in the church,I grew up in the church
teach,He teaches at Gettysburg College,They teach at Gettysburg College,I teach at Gettysburg College,You teach at Gettysburg College
hold,He holds no ill-will toward NASCAR,They hold no ill-will toward NASCAR,We hold no ill-will toward NASCAR,You hold no ill-will toward NASCAR
maintain,I maintain 23 minutes north-ouest side,We maintain 23 minutes north-ouest side,They maintain 23 minutes north-ouest side,You maintain 23 minutes north-ouest side
describe,It describes air temperature and humidity,They describe air temperature and humidity,We describe air temperature and humidity,You describe air temperature and humidity
wear,She also wears glasses,They also wear glasses,I also wear glasses,You also wear glasses
wait,I'll wait for the revisions,We'll wait for the revisions,They'll wait for the revisions,You'll wait for the revisions
protect,It also protects unwarranted attacks on privacy,They also protect unwarranted attacks on privacy,We also protect unwarranted attacks on privacy,You also protect unwarranted attacks on privacy
break,It broke the unspoken rule,They broke the unspoken rule,I broke the unspoken rule,You broke the unspoken rule
bring,I brought him in,We brought him in,They brought him in,You brought him in
publish,He published his discovery in Nature,They published his discovery in Nature,I published his discovery in Nature,You published his discovery in Nature
be,I'm asthmatic,We're asthmatic,They're asthmatic,You're asthmatic
play,She also plays mandolin and tenor banjo,They also play mandolin and tenor banjo,I also play mandolin and tenor banjo,You also play mandolin and tenor banjo
look,She looked like a mummy,They looked like mummies,I looked like a mummy,You looked like a mummy
pick,It'll pick up again soon,They'll pick up again soon,I'll pick up again soon,You'll pick up again soon
accept,He accepted geological time,They accepted geological time,I accepted geological time,You accepted geological time
teach,He teaches engineering at Tufts University,They teach engineering at Tufts University,I teach engineering at Tufts University,You teach engineering at Tufts University
wait,You wait,You wait,She waits,I wait
place,You can place these anywhere,You can place these anywhere,She can place these anywhere,I can place these anywhere
say,he said,they said,I said,you said
miss,I also missed a gold medal once,We also missed a gold medal once,They also missed a gold medal once,You also missed a gold medal once
become,He potentially could become THE worst of all,They potentially could become THE worst of all,I potentially could become THE worst of all,You potentially could become THE worst of all
need,You'd need a decent alternator,You'd need a decent alternator,She'd need a decent alternator,I'd need a decent alternator
fall,It falls out of the sky,They fall out of the sky,I fall out of the sky,You fall out of the sky
work,It works,They work,I work,You work
mention,You mention imagination,You mention imagination,They mention imagination,He mentions imagination
enable,You first enable the TPM,You first enable the TPM,They first enable the TPM,He first enables the TPM
plan,I never would plan in advance,We never would plan in advance,You never would plan in advance,They never would plan in advance
cut,You can cut coins,You can cut coins,They can cut coins,He can cut coins
bear,I bore easy,We bore easy,You bore easy,They bore easy
establish,He established the Lord's Supper,They established the Lord's Supper,You established the Lord's Supper,I established the Lord's Supper
produce,He produced this piece for WUSA,They produced this piece for WUSA,You produced this piece for WUSA,I produced this piece for WUSA
end,It ends tonight,They end tonight,You end tonight,We end tonight
discuss,It discusses one bridge hand,They discuss one bridge hand,You discuss one bridge hand,We discuss one bridge hand
manage,He also managed the Xorg 670 release,They also managed the Xorg 670 release,You also managed the Xorg 670 release,I also managed the Xorg 670 release
take,You will take 5 modules per semester,You will take 5 modules per semester,They will take 5 modules per semester,I will take 5 modules per semester
prepare,She prepared for the inevitable,They prepared for the inevitable,You prepared for the inevitable,I prepared for the inevitable
sign,You can sign the guestbook here,You can sign the guestbook here,They can sign the guestbook here,I can sign the guestbook here
consider,I consider myself a crew member,We consider ourselves crew members,You consider yourself a crew member,They consider themselves crew members
state,I stated fact,We stated fact,You stated fact,They stated fact
meet,I met Allison,We met Allison,You met Allison,They met Allison
hit,I just hit the like button,We just hit the like button,You just hit the like button,They just hit the like button
stop,She stopped at camp meetings,They stopped at camp meetings,You stopped at camp meetings,I stopped at camp meetings
continue,I continued my chain of thoughts,We continued our chain of thoughts,You continued your chain of thoughts,They continued their chain of thoughts
receive,I received an error message,We received an error message,You received an error message,They received an error message
reduce,It reduces your risks,They reduce your risks,We reduce your risks,I reduce your risks
appear,He would not appear anywhere off-planet,They would not appear anywhere off-planet,You would not appear anywhere off-planet,I would not appear anywhere off-planet
share,I share these concerns,We share these concerns,You share these concerns,They share these concerns
start,He starts off well enough,They start off well enough,You start off well enough,I start off well enough
present,It presents options for,They present options for,You present options for,I present options for
enjoy,I enjoyed that,We enjoyed that,You enjoyed that,They enjoyed that
appear,It certainly appears that way,They certainly appear that way,You certainly appear that way,I certainly appear that way
choose,You can choose your favorite style,You can choose your favorite style,I can choose my favorite style,They can choose their favorite style
receive,You will receive your price immediately,You will receive your price immediately,I will receive my price immediately,They will receive their price immediately
improve,It would also improve the allocation of resources,They would also improve the allocation of resources,You would also improve the allocation of resources,We would also improve the allocation of resources
attend,I attend community events,We attend community events,You attend community events,They attend community events
mention,You mention history four times,You mention history four times,I mention history four times,They mention history four times
start,You can start now,You can start now,I can start now,They can start now
report,I must report this to Caesar',We must report this to Caesar',You must report this to Caesar',They must report this to Caesar'
write,I wrote this after the debate,We wrote this after the debate,You wrote this after the debate,They wrote this after the debate
hit,It hit the pavement X-keys first,They hit the pavement X-keys first,You hit the pavement X-keys first,We hit the pavement X-keys first
develop,He developed the compound microscope,They developed the compound microscope,You developed the compound microscope,We developed the compound microscope
choose,I chose one,We chose one,You chose one,They chose one
avoid,She can't avoid contact with them,They can't avoid contact with them,You can't avoid contact with them,We can't avoid contact with them
receive,I never received any tax cut,We never received any tax cut,You never received any tax cut,They never received any tax cut
cause,It sometimes causes fluid-filled blisters,They sometimes causes fluid-filled blisters,You sometimes causes fluid-filled blisters,We sometimes causes fluid-filled blisters
check,I check my arms and legs,We check my arms and legs,You check my arms and legs,They check my arms and legs
stop,I slow down until it stops,We slow down until it stops,You slow down until it stops,They slow down until it stops
try,I tried it,We tried it,You tried it,They tried it
increase,It also greatly increases implementation complexity for developers,They also greatly increase implementation complexity for developers,You also greatly increase implementation complexity for developers,We also greatly increase implementation complexity for developers
open,She opens up easily,They open up easily,You open up easily,We open up easily
appear,It appeared in HNN on 82108,They appeared in HNN on 82108,You appeared in HNN on 82108,We appeared in HNN on 82108
deliver,It delivers stunning visual immersion,They deliver stunning visual immersion,You deliver stunning visual immersion,We deliver stunning visual immersion
remember,I remember vividly their visit,We remember vividly their visit,You remember vividly their visit,They remember vividly their visit
turn,He turned them all down,They turned them all down,You turned them all down,We turned them all down
drive,I drove away,We drove away,You drove away,They drove away
define,It will define livelihoods and political legacies,They will define livelihoods and political legacies,You will define livelihoods and political legacies,We will define livelihoods and political legacies
draw,She still drew,They still drew,You still drew,We still drew
appear,It may appear zero or more times,They may appear zero or more times,You may appear zero or more times,We may appear zero or more times
protect,You protect it,You protect it,We protect it,They protect it
fall,He just fell short,They just fell short,You just fell short,We just fell short
show,I show it off to visitors,We show it off to visitors,They show it off to visitors,She shows it off to visitors
pay,I pay close attention to stamps,We pay close attention to stamps,They pay close attention to stamps,He pays close attention to stamps
pay,She paid 100 each,They paid 100 each,You paid 100 each,We paid 100 each
attend,I attended SHAD at Carleton University,We attended SHAD at Carleton University,They attended SHAD at Carleton University,He attended SHAD at Carleton University
address,You address Pakistan,You address Pakistan,We address Pakistan,They address Pakistan
pass,You can pass a timestamp or CurrentTime,You can pass a timestamp or CurrentTime,We can pass a timestamp or CurrentTime,They can pass a timestamp or CurrentTime
prevent,It will certainly prevent casual use,They will certainly prevent casual use,You will certainly prevent casual use,We will certainly prevent casual use
deliver,He then delivered a brief inaugural address,They then delivered a brief inaugural address,You then delivered a brief inaugural address,We then delivered a brief inaugural address
identify,He so identified with outsiders,They so identified with outsiders,You so identified with outsiders,We so identified with outsiders
make,I couldn't even make it through a Clapotis,We couldn't even make it through a Clapotis,You couldn't even make it through a Clapotis,They couldn't even make it through a Clapotis
