target,x,y,d1,d2
meinen,Ich meine,Wir meinen,Er meint,Du meinst
ändern,Es ändert sich gravierend,Sie ändern sich gravierend,Ich ändere mich gravierend,Du änderst dich gravierend
bedeuten,Es bedeutet so viel wie ungewöhnlich,Sie bedeuten so viel wie ungewöhnlich,Ich bedeute so viel wie ungewöhnlich,Du bedeutest so viel wie ungewöhnlich
sehen,Du siehst ganz blass aus,Ihr seht ganz blass aus,Er sieht ganz blass aus,Sie sehen ganz blass aus
erscheinen,Es erscheint wie eine Erlösung,Sie erscheinen wie eine Erlösung,Ich erscheine wie eine Erlösung,Du erscheinst wie eine Erlösung
lieben,Ich liebe meinen Induktionsherd,Wir lieben unseren Induktionsherd,Er liebt seinen Induktionsherd,Sie lieben ihren Induktionsherd
erstellen,Sie erstellt die Berliner Morgenpost,Sie erstellen die Berliner Morgenpost,Ich erstelle die Berliner Morgenpost,Du erstellst die Berliner Morgenpost
glauben,Du glaubst mir nicht,Ihr glaubt mir nicht,Er glaubt mir nicht,Sie glauben mir nicht
öffnen,Ich öffne die Tür,Wir öffnen die Tür,Er öffnet die Tür,Sie öffnen die Tür
warten,Er wartet auf Rückmeldung,Sie warten auf Rückmeldung,Ich warte auf Rückmeldung,Du wartest auf Rückmeldung
bilden,Er bildet Ausläufer ähnlich dem Klee,Sie bilden Ausläufer ähnlich dem Klee,Ich bilde Ausläufer ähnlich dem Klee,Du bildest Ausläufer ähnlich dem Klee
gehen,Es geht gar nicht anders,Sie gehen gar nicht anders,Ich gehe gar nicht anders,Du gehst gar nicht anders
erklären,Ich erkläre mein Dilemma der Frau,Wir erklären mein Dilemma der Frau,Du erklärst mein Dilemma der Frau,Sie erklären mein Dilemma der Frau
teilen,Er teilte die Sorge seiner Schwester,Sie teilten die Sorge ihrer Schwester,Ich teilte die Sorge meiner Schwester,Du teiltest die Sorge deiner Schwester
feiern,Du feierst Auferstehungsfest nach jedem Krieg,Ihr feiert Auferstehungsfest nach jedem Krieg,Sie feiern Auferstehungsfest nach jedem Krieg,Es feiert Auferstehungsfest nach jedem Krieg
kommen,Sie kam aus Ostfriesland,Sie kamen aus Ostfriesland,Ich kam aus Ostfriesland,Du kamst aus Ostfriesland
wechseln,Es wechselt ständig,Sie wechseln ständig,Ich wechsle ständig,Du wechselst ständig
gewinnen,Er gewann in drei Sätzen,Sie gewannen in drei Sätzen,Ich gewann in drei Sätzen,Du gewannst in drei Sätzen
verändern,Sie verändert alles,Sie verändern alles,Ich verändere alles,Du veränderst alles
sehen,Sie sieht doch recht gut aus,Sie sehen doch recht gut aus,Ich sehe doch recht gut aus,Du siehst doch recht gut aus
behandeln,Ich behandle dieses Jahr mit Apilifevar,Wir behandeln dieses Jahr mit Apilifevar,Du behandelst dieses Jahr mit Apilifevar,Sie behandeln dieses Jahr mit Apilifevar
verlieren,Sie verliert sich in Äußerlichkeiten,Sie verlieren sich in Äußerlichkeiten,Ich verliere mich in Äußerlichkeiten,Du verlierst dich in Äußerlichkeiten
rufen,Ich rufe den Antrag 643 auf,Wir rufen den Antrag 643 auf,Du rufst den Antrag 643 auf,Sie rufen den Antrag 643 auf
bestellen,Ich bestelle vieles online,Wir bestellen vieles online,Du bestellst vieles online,Sie bestellen vieles online
ansehen,Sie ansah,Sie ansehen,Ich ansehe,Du ansiehst
schaffen,Sie schafft es nicht ganz,Sie schaffen es nicht ganz,Ich schaffe es nicht ganz,Du schaffst es nicht ganz
wünschen,Ich wünsche der Ausstellung viel Erfolg,Wir wünschen der Ausstellung viel Erfolg,Du wünschst der Ausstellung viel Erfolg,Sie wünschen der Ausstellung viel Erfolg
verhindern,Sie verhindert damit 33 Brandwunden,Sie verhindern damit 33 Brandwunden,Ich verhindere damit 33 Brandwunden,Du verhinderst damit 33 Brandwunden
verlieren,Er verlor nie den Muth,Sie verloren nie den Muth,Ich verlor nie den Muth,Du verlorst nie den Muth
bitten,Ich bitte um Beispiele,Wir bitten um Beispiele,Du bittest um Beispiele,Sie bitten um Beispiele
sterben,Er starb 1964 in Frankreich,Sie starben 1964 in Frankreich,Ich starb 1964 in Frankreich,Du starbst 1964 in Frankreich
verlassen,Sie verließ sich unvermeidbare Konsequenzen,Sie verließen sich unvermeidbare Konsequenzen,Ich verließ mich unvermeidbare Konsequenzen,Du verließest dich unvermeidbare Konsequenzen
sehen,Sie sah ihn nie wieder,Sie sahen ihn nie wieder,Ich sah ihn nie wieder,Du sahst ihn nie wieder
fordern,Sie forderte hier strengere Regelungen,Sie forderten hier strengere Regelungen,Ich forderte hier strengere Regelungen,Du fordertest hier strengere Regelungen
beginnen,Es beginnt mit einem Missverständnis,Sie beginnen mit einem Missverständnis,Ich beginne mit einem Missverständnis,Du beginnst mit einem Missverständnis
schauen,Ich schaue mich noch bissel um,Wir schauen uns noch bissel um,Du schaust dich noch bissel um,Sie schauen sich noch bissel um
prüfen,Ich prüfe mein neues Copyright,Wir prüfen unser neues Copyright,Er prüft sein neues Copyright,Sie prüfen ihr neues Copyright
verbinden,Ich verbinde damit Behaglichkeit und Sicherheit,Wir verbinden damit Behaglichkeit und Sicherheit,Er verbindet damit Behaglichkeit und Sicherheit,Sie verbinden damit Behaglichkeit und Sicherheit
tun,Es tut nicht viel,Sie tun nicht viel,Ich tue nicht viel,Du tust nicht viel
empfehlen,Ich empfehle es ab ca 12 Jahren,Wir empfehlen es ab ca 12 Jahren,Er empfiehlt es ab ca 12 Jahren,Sie empfehlen es ab ca 12 Jahren
nutzen,Ich nutze die Plattform regelmässig,Wir nutzen die Plattform regelmässig,Er nutzt die Plattform regelmässig,Sie nutzen die Plattform regelmässig
betrachten,Er betrachtete diese genauer,Sie betrachteten diese genauer,Ich betrachtete diese genauer,Du betrachtetest diese genauer
entfernen,Er entfernt dann eine der Wurzeln,Sie entfernen dann eine der Wurzeln,Ich entferne dann eine der Wurzeln,Du entfernst dann eine der Wurzeln
erfolgen,Es erfolgt sodann ein sogenanntes Sachurteil,Sie erfolgen sodann ein sogenanntes Sachurteil,Ich erfolge sodann ein sogenanntes Sachurteil,Du erfolgst sodann ein sogenanntes Sachurteil
erinnern,Ich erinnere an die sogenannte Psychomotorik,Wir erinnern an die sogenannte Psychomotorik,Er erinnert an die sogenannte Psychomotorik,Sie erinnern an die sogenannte Psychomotorik
brauchen,Ich brauche mehr,Wir brauchen mehr,Er braucht mehr,Sie brauchen mehr
erkennen,Ich erkenne Gott in meinem Leben,Wir erkennen Gott in unserem Leben,Er erkennt Gott in seinem Leben,Sie erkennen Gott in ihrem Leben
dauern,Es dauert noch ein paar Minuten,Sie dauern noch ein paar Minuten,Ich dauere noch ein paar Minuten,Du dauerst noch ein paar Minuten
zeigen,Er zeigt Ihnen weiter,Sie zeigen Ihnen weiter,Ich zeige Ihnen weiter,Du zeigst Ihnen weiter
lernen,Ich lerne gerne,Wir lernen gerne,Er lernt gerne,Sie lernen gerne
tun,Du tust seltsame Dinge,Ihr tut seltsame Dinge,Er tut seltsame Dinge,Sie tun seltsame Dinge
setzen,Sie setzt sich zusammen aus der,Sie setzen uns zusammen aus der,Ich setze sich zusammen aus der,Sie setzen sich zusammen aus der
erhalten,Er erhält 22000 Euro,Sie erhalten 22000 Euro,Ich erhalte 22000 Euro,Du erhältst 22000 Euro
verfügen,Er verfügt über eine zusätzliche Funktion,Sie verfügen über eine zusätzliche Funktion,Ich verfüge über eine zusätzliche Funktion,Du verfügst über eine zusätzliche Funktion
berichten,Ich berichte weiter LG allen Arti,Wir berichten weiter LG allen Arti,Er berichtet weiter LG allen Arti,Sie berichten weiter LG allen Arti
erfüllen,Sie erfüllt vorbildlich die Vorgaben des Bundes-Immissionsschutzgesetzes,Sie erfüllen vorbildlich die Vorgaben des Bundes-Immissionsschutzgesetzes,Ich erfülle vorbildlich die Vorgaben des Bundes-Immissionsschutzgesetzes,Sie erfüllen vorbildlich die Vorgaben des Bundes-Immissionsschutzgesetzes
gründen,Ich gründe Tenochtitlan,Wir gründen Tenochtitlan,Er gründet Tenochtitlan,Sie gründen Tenochtitlan
leisten,Es leistet großartige Arbeit beim Tunnelbau,Sie leisten großartige Arbeit beim Tunnelbau,Ich leiste großartige Arbeit beim Tunnelbau,Du leistest großartige Arbeit beim Tunnelbau
entscheiden,Ich entscheide mich für die Liebe,Wir entscheiden uns für die Liebe,Er entscheidet sich für die Liebe,Sie entscheiden sich für die Liebe
dauern,Es dauert halt,Sie dauern halt,Ich dauere halt,Du dauerst halt
tragen,Sie trägt ein Ornamentband aus Wachsfadentechnik,Sie tragen ein Ornamentband aus Wachsfadentechnik,Ich trage ein Ornamentband aus Wachsfadentechnik,Du trägst ein Ornamentband aus Wachsfadentechnik
gründen,Ich gründete die Firma Kirsch-Computersysteme,Wir gründeten die Firma Kirsch-Computersysteme,Er gründete die Firma Kirsch-Computersysteme,Sie gründeten die Firma Kirsch-Computersysteme
wachsen,Sie wächst auch nicht mehr,Sie wachsen auch nicht mehr,Ich wachse auch nicht mehr,Du wächst auch nicht mehr
verlieren,Er verlor auch einen Bauern,Sie verloren auch einen Bauern,Ich verlor auch einen Bauern,Du verlorst auch einen Bauern
scheinen,Er schien vollkommen,Sie schienen vollkommen,Ich schien vollkommen,Du schienst vollkommen
helfen,Ich helfe hier vielen Kunden,Wir helfen hier vielen Kunden,Er hilft hier vielen Kunden,Sie helfen hier vielen Kunden
empfehlen,Ich empfehle ihn jederm sehr,Wir empfehlen ihn jederm sehr,Er empfiehlt ihn jederm sehr,Sie empfehlen ihn jederm sehr
gestalten,Er gestaltet nur den Ton,Sie gestalten nur den Ton,Ich gestalte nur den Ton,Du gestaltest nur den Ton
machen,Ich mache das selbst,Wir machen das selbst,Er macht das selbst,Sie machen das selbst
besitzen,Er besitzt eine gute Struktur,Sie besitzen eine gute Struktur,Ich besitze eine gute Struktur,Du besitzt eine gute Struktur
planen,Er plant noch zwei weitere Bücher,Sie planen noch zwei weitere Bücher,Ich plane noch zwei weitere Bücher,Du planst noch zwei weitere Bücher
bestätigen,Er bestätigte mir das,Sie bestätigten mir das,Ich bestätigte Ihnen das,Du bestätigtest mir das
erklären,Es erklärt offenbar irgendetwas,Sie erklären offenbar irgendetwas,Ich erkläre offenbar irgendetwas,Du erklärst offenbar irgendetwas
nennen,Er nannte aber keine Namen,Sie nannten aber keine Namen,Ich nannte aber keine Namen,Du nanntest aber keine Namen
steigen,Er steigt aus sich selbst aus,Sie steigen aus sich selbst aus,Ich steige aus mir selbst aus,Du steigst aus dir selbst aus
beschäftigen,Ich beschäftige mich ein wenig hier,Wir beschäftigen uns ein wenig hier,Er beschäftigt sich ein wenig hier,Sie beschäftigen sich ein wenig hier
fehlen,Es fehlt noch an Wettkampfreife,Sie fehlen noch an Wettkampfreife,Ich fehle noch an Wettkampfreife,Du fehlst noch an Wettkampfreife
gründen,Er gründete den Löfflerschen Gesangverein,Sie gründeten den Löfflerschen Gesangverein,Ich gründete den Löfflerschen Gesangverein,Du gründetest den Löfflerschen Gesangverein
erzählen,Er erzählte,Sie erzählten,Ich erzählte,Du erzähltest
erklären,Er erklärt die Welt aus der,Sie erklären die Welt aus der,Ich erkläre die Welt aus der,Du erklärst die Welt aus der
verlassen,Ich verlasse euch nicht,Wir verlassen euch nicht,Er verlässt euch nicht,Sie verlassen euch nicht
führen,Ich führte nur gewisse unmoralische Beziehungen,Wir führten nur gewisse unmoralische Beziehungen,Er führte nur gewisse unmoralische Beziehungen,Sie führten nur gewisse unmoralische Beziehungen
arbeiten,Ich arbeite als zugelassener Rechtsanwalt,Wir arbeiten als zugelassene Rechtsanwälte,Er arbeitet als zugelassener Rechtsanwalt,Sie arbeiten als zugelassene Rechtsanwälte
legen,Ich lege das Tübche aufs Band,Wir legen das Tübche aufs Band,Er legt das Tübche aufs Band,Sie legen das Tübche aufs Band
wollen,Sie wollte es ja nicht anders,Sie wollten es ja nicht anders,Ich wollte es ja nicht anders,Du wolltest es ja nicht anders
genießen,Ich genieße diese Freiheit,Wir genießen diese Freiheit,Sie genießt diese Freiheit,Ihr genießt diese Freiheit
gestalten,Sie gestaltet ihr Image selbst,Sie gestalten ihr Image selbst,Ich gestalte mein Image selbst,Du gestaltest dein Image selbst
lösen,Er löste sich wieder von ihr,Sie lösten sich wieder von ihr,Ich löste mich wieder von ihr,Du löstest dich wieder von ihr
veröffentlichen,Er veröffentlicht dreizehn Arbeiten,Sie veröffentlichten dreizehn Arbeiten,Ich veröffentlichte dreizehn Arbeiten,Du veröffentlichtest dreizehn Arbeiten
zahlen,Er zahlt die Miete weiter,Sie zahlen die Miete weiter,Ich zahle die Miete weiter,Du zahlst die Miete weiter
entdecken,Sie entdeckt nur ungewöhnlich hohe Neurotransmitterrückstände,Sie entdecken nur ungewöhnlich hohe Neurotransmitterrückstände,Ich entdecke nur ungewöhnlich hohe Neurotransmitterrückstände,Du entdeckst nur ungewöhnlich hohe Neurotransmitterrückstände
sehen,Ich persönlich sehe darin eine Ungerechtigkeit,Wir persönlich sehen darin eine Ungerechtigkeit,Sie persönlich sehen darin eine Ungerechtigkeit,Er persönlich sieht darin eine Ungerechtigkeit
heißen,Es heißt Kinder und Tod,Sie heißen Kinder und Tod,Ich heiße Kinder und Tod,Du heißt Kinder und Tod
besuchen,Ich besuchte auch kurz die Halbinsel,Wir besuchten auch kurz die Halbinsel,Sie besuchte auch kurz die Halbinsel,Er besuchte auch kurz die Halbinsel
dürfen,Sie durfte bei den 69,Sie durften bei den 69,Ich durfte bei den 69,Du durftest bei den 69
entsprechen,Es entspricht der 2x2x2-Kugel oben,Sie entsprechen der 2x2x2-Kugel oben,Ich entspreche der 2x2x2-Kugel oben,Du entsprichst der 2x2x2-Kugel oben
bekommen,Ich bekomme keinen Kredit was nun?,Wir bekommen keinen Kredit was nun?,Sie bekommen keinen Kredit was nun?,Er bekommt keinen Kredit was nun?
beginnen,Er beginnt zunächst eine landwirtschaftliche Ausbildung,Sie beginnen zunächst eine landwirtschaftliche Ausbildung,Ich beginne zunächst eine landwirtschaftliche Ausbildung,Du beginnst zunächst eine landwirtschaftliche Ausbildung
ändern,Es ändert sich sowieso nichts,Sie ändern sich sowieso nichts,Ich ändere mich sowieso nichts,Du änderst dich sowieso nichts
befinden,Ich befinde mich in dieser Kulisse,Wir befinden uns in dieser Kulisse,Sie befinden sich in dieser Kulisse,Er befindet sich in dieser Kulisse
benutzen,Ich benutzte seit vielen Jahren Notizbücher,Wir benutzten seit vielen Jahren Notizbücher,Sie benutzten seit vielen Jahren Notizbücher,Er benutzte seit vielen Jahren Notizbücher
verfügen,Du verfügst über sehr gute,Ihr verfügt über sehr gute,Ich verfüge über sehr gute,Sie verfügen über sehr gute
unterscheiden,Es unterscheidet,Sie unterscheiden,Ich unterscheide,Du unterscheidest
prüfen,Ich prüfe das bei Gelegenheit,Wir prüfen das bei Gelegenheit,Sie prüfen das bei Gelegenheit,Er prüft das bei Gelegenheit
leben,Ich lebe seit 1985 in Deutschland,Wir leben seit 1985 in Deutschland,Sie leben seit 1985 in Deutschland,Er lebt seit 1985 in Deutschland
hören,Ich hörte es mir weiter an,Wir hörten es uns weiter an,Sie hörten es sich weiter an,Er hörte es sich weiter an
hoffen,Ich hoffe es gefällt Dir?,Wir hoffen es gefällt dir?,Sie hoffen es gefällt dir?,Er hofft es gefällt dir?
bekommen,Ich bekomme Gänsehaut,Wir bekommen Gänsehaut,Sie bekommen Gänsehaut,Er bekommt Gänsehaut
spielen,Ich spiele kaum noch Online Poker,Wir spielen kaum noch Online Poker,Sie spielen kaum noch Online Poker,Er spielt kaum noch Online Poker
holen,Du holst mich schon um Mitternacht,Ihr holt mich schon um Mitternacht,Er holt mich schon um Mitternacht,Sie holen mich schon um Mitternacht
gestalten,Sie gestaltet auch Lebensbilder von Dichtern,Sie gestalten auch Lebensbilder von Dichtern,Ich gestalte auch Lebensbilder von Dichtern,Du gestaltest auch Lebensbilder von Dichtern
bestätigen,Ich bestätigte das,Wir bestätigten das,Du bestätigtest das,Sie bestätigten das
schließen,Er schloß das Buch,Sie schlossen das Buch,Ich schloß das Buch,Du schlossest das Buch
bleiben,Es bleibt bis zum Schluss spannend,Sie bleiben bis zum Schluss spannend,Ich bleibe bis zum Schluss spannend,Du bleibst bis zum Schluss spannend
richten,Er richtete sich auf,Sie richteten sich auf,Ich richtete mich auf,Du richtetest dich auf
zahlen,Es zahlt sich aus,Sie zahlen sich aus,Ich zahle mich aus,Du zahlst dich aus
wählen,Ich wähle Kreditkarte und Weiter,Wir wählen Kreditkarte und Weiter,Du wählst Kreditkarte und Weiter,Sie wählen Kreditkarte und Weiter
wechseln,Er wechselte sich ein,Sie wechselten sich ein,Ich wechselte mich ein,Du wechseltest dich ein
steigen,Ich stieg aus,Wir stiegen aus,Du stiegst aus,Sie stiegen aus
erleben,Ich erlebe es selbst,Wir erleben es selbst,Du erlebst es selbst,Sie erleben es selbst
kaufen,Du kaufst dir ein niegelnagelneues Fertighaus,Ihr kauft euch ein niegelnagelneues Fertighaus,Er kauft sich ein niegelnagelneues Fertighaus,Sie kaufen sich ein niegelnagelneues Fertighaus
gelten,Sie gilt inklusive gesetzlicher Mehrwertsteuer,Sie gelten inklusive gesetzlicher Mehrwertsteuer,Ich gelte inklusive gesetzlicher Mehrwertsteuer,Du gilst inklusive gesetzlicher Mehrwertsteuer
sorgen,Sie sorgt für den guten Geschmack,Sie sorgen für den guten Geschmack,Ich sorge für den guten Geschmack,Du sorgst für den guten Geschmack
bedeuten,Sie bedeutet ihm alles,Sie bedeuten ihm alles,Ich bedeute ihm alles,Du bedeutest ihm alles
verstehen,Ich verstehe den Gedanken dahinter schon,Wir verstehen den Gedanken dahinter schon,Du verstehst den Gedanken dahinter schon,Sie verstehen den Gedanken dahinter schon
erzählen,Sie erzählt von dessen Grundübeln,Sie erzählen von dessen Grundübeln,Ich erzähle von dessen Grundübeln,Du erzählst von dessen Grundübeln
erscheinen,Es erscheint der Button Java-Einstellungen,Sie erscheinen der Button Java-Einstellungen,Ich erscheine der Button Java-Einstellungen,Du erscheinst der Button Java-Einstellungen
schützen,Er schützte sich und die Bettkantengeschichten,Sie schützten sich und die Bettkantengeschichten,Ich schützte mich und die Bettkantengeschichten,Du schütztest dich und die Bettkantengeschichten
bestehen,Sie bestand bis 1922 Originalunterschriften,Sie bestanden bis 1922 Originalunterschriften,Ich bestand bis 1922 Originalunterschriften,Du bestandest bis 1922 Originalunterschriften
sagen,Du sagst es,Ihr sagt es,Er sagt es,Sie sagen es
entwickeln,Es entwickelte sich nun unaufhaltsam,Sie entwickelten sich nun unaufhaltsam,Ich entwickelte mich nun unaufhaltsam,Du entwickeltest dich nun unaufhaltsam
liefern,Er liefert den aktuellen Laktatwert,Sie liefern den aktuellen Laktatwert,Ich liefere den aktuellen Laktatwert,Du lieferst den aktuellen Laktatwert
hoffen,Ich hoffe auf Letzteres,Wir hoffen auf Letzteres,Du hoffst auf Letzteres,Sie hoffen auf Letzteres
gehören,Ich gehöre zur Académie Goncourt,Wir gehören zur Académie Goncourt,Es gehört zur Académie Goncourt,Sie gehören zur Académie Goncourt
spielen,Er spielte den Radiomoderator Alfred Dorstreiter,Sie spielten den Radiomoderator Alfred Dorstreiter,Ich spielte den Radiomoderator Alfred Dorstreiter,Du spieltest den Radiomoderator Alfred Dorstreiter
liegen,Es liegt an diesen Dadsch-Dingern,Sie liegen an diesen Dadsch-Dingern,Ich liege an diesen Dadsch-Dingern,Du liegst an diesen Dadsch-Dingern
erhöhen,Er erhöht somit Ihr Anfangsvermögen,Sie erhöhen somit Ihr Anfangsvermögen,Ich erhöhe somit mein Anfangsvermögen,Du erhöhst somit dein Anfangsvermögen
spielen,Ich spiele auf Normal,Wir spielen auf Normal,Er spielt auf Normal,Sie spielen auf Normal
treten,Sie trat zu dem Fenster hinüber,Sie traten zu dem Fenster hinüber,Er trat zu dem Fenster hinüber,Ich trat zu dem Fenster hinüber
stellen,Ich stelle mir einen Paradiesgarten vor,Wir stellen uns einen Paradiesgarten vor,Er stellt sich einen Paradiesgarten vor,Sie stellen sich einen Paradiesgarten vor
steigen,Ich stieg als zweiter Keyboarder ein,Wir stiegen als zweite Keyboarder ein,Er stieg als zweiter Keyboarder ein,Sie stiegen als zweite Keyboarder ein
denken,Sie denkt nach,Sie denken nach,Er denkt nach,Du denkst nach
drehen,Er dreht auch keine Runden,Sie drehen auch keine Runden,Ich drehe auch keine Runden,Du drehst auch keine Runden
erhalten,Er erhielt ihn,Sie erhielten ihn,Ich erhielt ihn,Du erhieltest ihn
kennen,Ich kenne ihn nicht,Wir kennen ihn nicht,Er kennt ihn nicht,Du kennst ihn nicht
betragen,Es betrug 123 Millionen Franken,Sie betrugen 123 Millionen Franken,Ich betrug 123 Millionen Franken,Du betrugst 123 Millionen Franken
